key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty,herfindahl_diversity,entropy_diversity
21,0.043211110355073204,0.035868595658282855,0.0135698212448848,0.6709442598939885,49.75,0.7996658207750873,7.998456449212984,-6.628676346897739,6.471489180684201
22,0.042131410256410255,0.03766311813186812,0.014080609749392702,0.6712824663724462,50.25,0.7935604413772512,8.041295664490569,-6.5913466079069565,6.484485852420785
23,0.04159321581196581,0.040662940152319235,0.014161597937872467,0.6764574251959478,52.25,0.7925238221860352,8.043382701473353,-6.5658387294396725,6.494732769903328
24,0.04018696581196581,0.04498364049145299,0.014617604933618938,0.6804613740489888,52.25,0.7931835082143921,8.040283287008883,-6.552322539111817,6.462922984771796
25,0.040431985294117644,0.04024968577174459,0.014905456317995317,0.6734647078945487,51.75,0.7881280458425592,8.017085422293125,-6.609734971474583,6.409304382985385
26,0.0391995320855615,0.03467411112172142,0.01592932052655663,0.6741934093975364,52.5,0.7905893631229504,8.018071988208677,-6.581042877324088,6.446640511943655
27,0.03680397727272727,0.03378971571906355,0.014735045242857167,0.6770480024919502,50.75,0.7954242331156831,8.032401382730809,-6.484925735491345,6.4761942885650035
28,0.035486111111111114,0.03429608585858585,0.013555776299285317,0.6746169963075834,50.75,0.8037455561591385,8.02716568007262,-6.437169967176293,6.4983131540345145
29,0.03319444444444444,0.033056758056758055,0.01199921651084045,0.6716350539543021,51.25,0.8013177791903292,8.032192779011755,-6.150228198673195,6.590163598577854
30,0.0308578431372549,0.032524509803921575,0.012333469613871138,0.6776352390882198,51.25,0.8019536380304044,8.05695053760907,-6.220568025539927,6.496238783171129
31,0.03107843137254902,0.03466345602568512,0.01239378895679159,0.6746693467337272,50.5,0.7981585367494975,8.072683169277617,-6.165896114970146,6.4877572905675205
32,0.028439542483660134,0.032756899055918665,0.012853047531162069,0.6704301769409131,52.5,0.7938532446895247,8.082578477323176,-6.303534883033959,6.562855230486293
33,0.021651348039215687,0.026872734387872795,0.011028061403476449,0.6731325806586727,54.75,0.7977543353146236,8.015815528975022,-6.233651923831396,6.808607612526698
